SCHOOL_YEAR_ID,TEST_PERIOD,IDOE_CORPORATION_ID,CORPORATION_NAME,IDOE_SCHOOL_ID,SCHOOL_NAME,GRADE_CODE,Tested,Proficient,Proficient %,subject,CORP,NAME,COUNTY_NAME,treated
2011,Spring ISTEP+,4615,Lake Central School Corporation,4351,Peifer Elementary School,04,122,105,0.8606557377,Math,4615,Peifer Elementary School,Lake,NA
2011,Spring ISTEP+,4615,Lake Central School Corporation,4351,Peifer Elementary School,03,95,86,0.90526315789,Math,4615,Peifer Elementary School,Lake,NA
2011,Spring ISTEP+,4760,School City of Whiting,4356,Whiting Middle School,08,74,53,0.71621621621,Math,4760,Whiting Middle School,Lake,NA
2011,Spring ISTEP+,4760,School City of Whiting,4356,Whiting Middle School,06,70,55,0.78571428571,Math,4760,Whiting Middle School,Lake,NA
2011,Spring ISTEP+,4760,School City of Whiting,4356,Whiting Middle School,07,76,58,0.7631578947299998,Math,4760,Whiting Middle School,Lake,NA
2011,Spring ISTEP+,4760,School City of Whiting,4361,Nathan Hale Elementary School,05,61,55,0.90163934426,Math,4760,Nathan Hale Elementary School,Lake,NA
2011,Spring ISTEP+,4760,School City of Whiting,4361,Nathan Hale Elementary School,03,59,54,0.9152542372800001,Math,4760,Nathan Hale Elementary School,Lake,NA
2011,Spring ISTEP+,4760,School City of Whiting,4361,Nathan Hale Elementary School,04,69,64,0.92753623188,Math,4760,Nathan Hale Elementary School,Lake,NA
2011,Spring ISTEP+,4770,Cass Township Schools,4369,Wanatah Public School,03,26,24,0.92307692307,Math,4770,Wanatah Public School,LaPorte,NA
2011,Spring ISTEP+,4770,Cass Township Schools,4369,Wanatah Public School,05,18,17,0.94444444444,Math,4770,Wanatah Public School,LaPorte,NA
2011,Spring ISTEP+,4770,Cass Township Schools,4369,Wanatah Public School,06,26,21,0.80769230769,Math,4770,Wanatah Public School,LaPorte,NA
2011,Spring ISTEP+,4770,Cass Township Schools,4369,Wanatah Public School,04,19,16,0.84210526315,Math,4770,Wanatah Public School,LaPorte,NA
2011,Spring ISTEP+,4770,Cass Township Schools,4369,Wanatah Public School,08,21,20,0.95238095238,Math,4770,Wanatah Public School,LaPorte,NA
2011,Spring ISTEP+,4770,Cass Township Schools,4369,Wanatah Public School,07,32,28,0.875,Math,4770,Wanatah Public School,LaPorte,NA
2011,Spring ISTEP+,4925,Michigan City Area Schools,4373,Coolspring Elementary School,03,42,33,0.78571428571,Math,4925,Coolspring Elementary School,LaPorte,NA
2011,Spring ISTEP+,4925,Michigan City Area Schools,4373,Coolspring Elementary School,04,54,52,0.96296296296,Math,4925,Coolspring Elementary School,LaPorte,NA
2011,Spring ISTEP+,4925,Michigan City Area Schools,4373,Coolspring Elementary School,05,47,43,0.91489361702,Math,4925,Coolspring Elementary School,LaPorte,NA
