Corp ID,Corp Name,Schl ID,Schl Name,year,American Indian,Asian or Pacific Islander,Black,Hispanic,Multiracial,White,Free Meals,Reduced Price Meals,Paid Meals,TOTAL ENROLLMENT,School Name,ELL N,ELL %,Special Education N,Special Education %,Total Enrollment,white_percent,free_meals_percent,reduced_meals_percent,free_reduced_meal_percent
2275,Middlebury Community Schools,1734,Orchard View Sch,2010,1,9,3,2,8,319,55,29,258,342,Orchard View Sch,22,0.06432748538011696,41,0.11988304093567251,342,0.9327485380116959,0.1608187134502924,0.0847953216374269,0.24561403508771928
2285,Wa-Nee Community Schools,1735,Wakarusa Elementary School,2010,3,8,8,35,26,488,161,51,356,568,Wakarusa Elementary School,36,0.06338028169014084,76,0.13380281690140844,568,0.8591549295774648,0.2834507042253521,0.0897887323943662,0.3732394366197183
2285,Wa-Nee Community Schools,1737,North Wood High School,2010,1,4,12,44,22,792,187,114,574,875,North Wood High School,24,0.027428571428571427,95,0.10857142857142857,875,0.9051428571428571,0.21371428571428572,0.13028571428571428,0.344
2285,Wa-Nee Community Schools,1743,Nappanee Elementary School,2010,NA,4,NA,10,22,422,174,74,210,458,Nappanee Elementary School,56,0.1222707423580786,61,0.1331877729257642,458,0.9213973799126638,0.3799126637554585,0.1615720524017467,0.5414847161572053
2285,Wa-Nee Community Schools,1747,Woodview Elementary School,2010,NA,2,7,44,17,412,168,93,221,482,Woodview Elementary School,78,0.16182572614107885,48,0.0995850622406639,482,0.8547717842323651,0.34854771784232363,0.19294605809128632,0.5414937759336099
2305,Elkhart Community Schools,1749,Elkhart Central High School,2010,3,17,333,359,106,1026,848,163,833,1844,Elkhart Central High School,213,0.11550976138828634,297,0.16106290672451193,1844,0.5563991323210412,0.4598698481561822,0.08839479392624729,0.5482646420824295
2305,Elkhart Community Schools,1750,Elkhart Memorial High School,2010,2,34,266,279,101,1178,855,169,836,1860,Elkhart Memorial High School,159,0.08548387096774193,240,0.12903225806451613,1860,0.6333333333333333,0.4596774193548387,0.09086021505376345,0.55053763440860215
2305,Elkhart Community Schools,1753,North Side Middle School,2010,1,4,75,122,47,376,332,68,225,625,North Side Middle School,75,0.12,95,0.152,625,0.6016,0.5312,0.1088,0.64
2305,Elkhart Community Schools,1761,West Side Middle School,2010,5,7,97,146,55,334,356,59,229,644,West Side Middle School,95,0.14751552795031056,95,0.14751552795031056,644,0.5186335403726708,0.5527950310559007,0.09161490683229814,0.6444099378881988
2305,Elkhart Community Schools,1763,Pierre Moran Middle School,2010,NA,6,118,200,53,249,424,53,149,626,Pierre Moran Middle School,148,0.2364217252396166,117,0.1869009584664537,626,0.3977635782747604,0.6773162939297125,0.08466453674121406,0.7619808306709265
2305,Elkhart Community Schools,1765,Beardsley Elementary School,2010,NA,2,101,137,63,135,359,22,57,438,Beardsley Elementary School,109,0.24885844748858446,74,0.1689497716894977,438,0.3082191780821918,0.819634703196347,0.0502283105022831,0.8698630136986302
2305,Elkhart Community Schools,1769,Beck Elementary School,2010,NA,2,131,196,41,104,437,20,17,474,Beck Elementary School,185,0.39029535864978904,73,0.1540084388185654,474,0.21940928270042195,0.9219409282700421,0.04219409282700422,0.9641350210970464
