objectid,name,nguid,local_id,source_datadesc,source_datasetid,source_featureid,source_originator,loaddate,county_fips,county_id,shape_Length,shape_Area
48,Scott County,urn:emergency:uid:gis:A2:0:SCOTT.IN.US,0,COUNTY BOUNDARY,COUNTY,1,SCOTT COUNTY,2023/08/31 00:00:00+00,18143,72,118672.720494356,498574942.103625
49,Shelby County,urn:emergency:uid:gis:A2:0:SHELBY.IN.US,0,COUNTY BOUNDARY,COUNTY,1,SHELBY COUNTY,2023/08/31 00:00:00+00,18145,73,132896.439156587,1068061250.90029
50,Spencer County,urn:emergency:uid:gis:A2:0:SPENCER.IN.US,0,COUNTY BOUNDARY,018147COUNTYBOUNDARY_AREA.SHP,0,SPENCER COUNTY,2023/08/31 00:00:00+00,18147,74,192353.755683991,1038941455.87642
51,Starke County,urn:emergency:uid:gis:A2:0:STARKE.IN.US,0,COUNTY BOUNDARY,COUNTY,1,STARKE COUNTY,2023/08/31 00:00:00+00,18149,75,124902.733648863,808053531.932649
52,Sullivan County,urn:emergency:uid:gis:A2:0:SULLIVAN.IN.US,0,COUNTY BOUNDARY,COUNTY,1,SULLIVAN COUNTY,2023/08/31 00:00:00+00,18153,77,160272.96429677,1171644792.75842
53,Switzerland County,urn:emergency:uid:gis:A2:0:SWITZERLAND.IN.US,0,COUNTY BOUNDARY,COUNTYBOUNDARY,1,SWITZERLAND COUNTY,2023/08/15 00:00:00+00,18155,78,117697.982477804,578985914.547265
54,Tippecanoe County,urn:emergency:uid:gis:A2:0:TIPPECANOE.IN.US,0,COUNTY BOUNDARY,COUNTY_BOUNDARIES.SHP,0,TIPPECANOE COUNTY,2023/08/29 00:00:00+00,18157,79,144686.993534511,1302507756.10116
55,Tipton County,urn:emergency:uid:gis:A2:0:TIPTON.IN.US,0,COUNTY BOUNDARY,COUNTYBOUNDARY_AREA.SHP,0,TIPTON COUNTY,2023/09/12 00:00:00+00,18159,80,106449.546305722,674441864.537159
56,Union County,urn:emergency:uid:gis:A2:0:UNION.IN.US,0,COUNTY BOUNDARY,COUNTY,1,UNION COUNTY,2023/08/15 00:00:00+00,18161,81,83518.0436213919,427618197.937913
57,Vanderburgh County,urn:emergency:uid:gis:A2:VANDERBURGH_COUNTY:VANDERBURGH.IN.US,VANDERBURGH_COUNTY,COUNTY BOUNDARY,COUNTY_BOUNDARY,1,VANDERBURGH COUNTY,2023/08/28 00:00:00+00,18163,82,133598.069295,612361063.237142
58,Vermillion County,urn:emergency:uid:gis:A2:0:VERMILLION.IN.US,0,COUNTY BOUNDARY,COUNTYBOUNDARY,1,VERMILLION COUNTY,2023/08/15 00:00:00+00,18165,83,156863.009902357,672733513.75993
59,Vigo County,urn:emergency:uid:gis:A2:0:VIGO.IN.US,0,COUNTY BOUNDARY,COUNTYBOUNDARY,1,VIGO COUNTY,2023/08/15 00:00:00+00,18167,84,147514.114652793,1061060170.6116
60,Warren County,urn:emergency:uid:gis:A2:0:WARREN.IN.US,0,COUNTY BOUNDARY,COUNTYBOUNDARY,1,WARREN COUNTY,2023/08/15 00:00:00+00,18171,86,144061.307535943,948326236.915823
61,Warrick County,urn:emergency:uid:gis:A2:0:WARRICK.IN.US,0,COUNTY BOUNDARY,COUNTYBOUNDARY,1,WARRICK COUNTY,2023/09/01 00:00:00+00,18173,87,162427.403202328,1009234149.95103
62,Washington County,urn:emergency:uid:gis:A2:0:WASHINGTON.IN.US,0,COUNTY BOUNDARY,COUNTYBOUNDARY,1,WASHINGTON COUNTY,2023/08/15 00:00:00+00,18175,88,182329.348939207,1336080348.37074
63,Wayne County,urn:emergency:uid:gis:A2:BND0050000:WAYNE.IN.US,BND0050000,COUNTY BOUNDARY,COUNTYBOUNDARY,1,WAYNE COUNTY,2023/10/03 00:00:00+00,18177,89,135099.467710567,1047080765.54817
