fips_county,county_name.x,NAME,year,ENROLL,TOTALREV,TFEDREV,FEDRCOMP,FEDRHAND,FEDRNUTR,FEDROTHR,TSTREV,STRFORM,STRHAND,STRTRANS,STROTHR,TLOCREV,LOCRTAX,LOCRPROP,LOCRPAR,LOCRCICO,LOCROSCH,LOCRCHAR,LOCROTHR,TOTALEXP,TCURSPND,TSALWAGE,TEMPBENE,TCURINST,TCURISAL,TCURIBEN,TCURSSVC,TCURSPUP,TCURSSTA,TCURSGEN,TCURSSCH,TCURSOTH,TCURONON,TCAPOUT,TPAYOTH,TINTRST,DEBTOUT,LONGISSU,LONGRET,PCTTOTAL,PCTFTOT,PCTFCOMP,PCTSTOT,PCTSFORM,PCTLTOT,PCTLTAXP,PCTLOTHG,PCTLCHAR,PPCSTOT,PPSALWG,PPEMPBEN,PPITOTAL,PPISALWG,PPIEMBEN,PPSTOTAL,PPSPUPIL,PPSSTAFF,PPSGENAD,PPSSCHAD,FEDRSPEC,STRSPEC,CSA,CBSA,NCESID,county_name.y
019,Clark,WILLIAM E WILSON EDUCATION CENTER,2000,0,1851,22,0,0,0,22,233,0,0,0,233,1596,222,222,0,0,828,107,439,1809,1746,686,173,0,0,0,1746,0,0,1,0,1745,0,63,0,0,0,0,0,100,1.2,0,12.6,0,86.2,12,44.7,5.8,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,Clark
019,Clark,WEST CLARK COMM SCH DIST,2000,3115,22370,567,267,0,211,89,12957,10627,91,179,2060,8846,7738,7738,0,2,0,837,269,21879,18768,11775,4110,11745,8445,3026,6171,418,643,266,1137,3707,852,1632,1445,34,458,0,211,100,2.5,1.2,57.9,47.5,39.5,34.6,0,3.7,5963,3780,1319,3770,2711,971,1981,134,206,85,365,NA,NA,NA,NA,NA,Clark
021,Clay,CLAY COMMUNITY SCH DIST,2000,4695,36719,1861,450,508,566,337,20962,17369,125,239,3229,13896,11343,11343,0,593,135,1221,604,36630,30079,18877,7433,19116,13334,5369,9275,916,1039,514,1540,5266,1688,2970,3354,227,4604,0,408,100,5.1,1.2,57.1,47.3,37.8,30.9,2,3.3,6349,4021,1583,4072,2840,1144,1976,195,221,109,328,NA,NA,NA,NA,NA,Clay
023,Clinton,FRANKFORT COMM SCH DIST,2000,3199,23343,2315,397,1246,483,189,13787,11565,62,36,2124,7241,5662,5662,0,273,175,736,395,22479,20112,12430,3982,12079,8788,2919,6666,768,477,279,1013,4129,1367,790,1107,470,8597,0,508,100,9.9,1.7,59.1,49.5,31,24.3,1.9,3.2,6166,3886,1245,3776,2747,912,2084,240,149,87,317,NA,NA,NA,NA,NA,Clinton
023,Clinton,CLINTON CENTRAL SCH CORP,2000,1141,8278,280,57,75,79,69,4635,3841,12,66,716,3363,2642,2642,0,117,0,432,172,7751,7027,4558,1690,4295,3022,1170,2233,179,156,154,499,1245,499,588,122,14,213,0,87,100,3.4,0.7,56,46.4,40.6,31.9,1.4,5.2,6032,3995,1481,3764,2649,1025,1957,157,137,135,437,NA,NA,NA,NA,NA,Clinton
023,Clinton,CLINTON PRAIRIE SCH CORP,2000,1155,9441,232,55,50,50,77,4590,3804,10,44,732,4619,3725,3725,0,177,0,354,363,8748,6966,4407,1527,3966,2872,1013,2685,278,122,185,350,1750,315,346,1391,45,835,0,145,100,2.5,0.6,48.6,40.3,48.9,39.5,1.9,3.7,6009,3816,1322,3434,2487,877,2325,241,106,160,303,NA,NA,NA,NA,NA,Clinton
023,Clinton,ROSSVILLE CONS SCH DIST,2000,924,6606,169,55,62,45,7,3936,3288,1,33,614,2501,2008,2008,0,95,45,302,51,6536,5634,3647,1236,3441,2500,863,1922,160,97,227,376,1062,271,305,489,108,1792,0,233,100,2.6,0.8,59.6,49.8,37.9,30.4,2.1,4.6,6065,3947,1338,3724,2706,934,2080,173,105,246,407,NA,NA,NA,NA,NA,Clinton
025,Crawford,CRAWFORD CO COMM SCH CORP,2000,1911,15852,947,377,0,358,212,9557,7969,55,262,1271,5349,3742,3742,0,133,0,378,1096,15821,12670,6825,3278,8105,5150,2538,3850,129,176,387,855,2303,715,1072,1736,343,6665,177,353,100,6,2.4,60.3,50.3,33.7,23.6,0.8,2.4,6570,3571,1715,4241,2695,1328,2015,68,92,203,447,NA,NA,NA,NA,NA,Crawford
027,Daviess,BARR-REEVE COMMUNITY SCHOOL INC.,2000,760,5614,294,210,0,44,40,3068,2511,0,34,523,2252,1848,1848,0,87,3,184,130,5770,4422,2664,1027,2794,1940,764,1442,118,112,194,256,762,186,1198,105,45,857,0,44,100,5.2,3.7,54.7,44.7,40.1,32.9,1.6,3.3,5764,3505,1351,3676,2553,1005,1897,155,147,255,337,NA,NA,NA,NA,NA,Daviess
027,Daviess,WASHINGTON COMMUNITY SCHOOL INC.,2000,2564,18707,817,367,0,270,180,10876,9255,98,52,1471,7014,6038,6038,0,267,0,519,190,18774,14848,8664,3977,9474,6277,2930,4793,539,327,254,1105,2568,581,1231,2519,176,1616,0,188,100,4.4,2,58.1,49.5,37.5,32.3,1.4,2.8,5761,3379,1551,3695,2448,1143,1869,210,128,99,431,NA,NA,NA,NA,NA,Daviess
027,Daviess,TWIN RIVERS VOCATIONAL AREA,2000,0,405,400,0,0,0,400,0,0,0,0,0,5,0,0,0,0,0,4,1,333,207,105,33,56,40,12,151,148,1,0,0,2,0,126,0,0,0,0,0,100,98.9,0,0,0,1.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,Daviess
027,Daviess,DAVIESS-MARTIN SPECIAL ED COOP,2000,0,1019,691,0,683,0,8,103,0,103,0,0,226,0,0,0,0,225,0,1,1079,1050,414,168,741,363,147,309,44,5,0,0,260,0,29,0,0,0,0,0,100,67.8,0,10.1,0,22.1,0,22.1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,Daviess
027,Daviess,NORTH DAVIESS CMNTY SCHOOL DIST,2000,1139,9169,575,358,0,122,95,4951,4165,17,47,722,3643,3056,3056,0,147,0,322,118,8736,7271,4238,1809,4516,3046,1350,2254,138,58,239,467,1352,501,944,512,9,0,0,0,100,6.3,3.9,54,45.4,39.7,33.3,1.6,3.5,6294,3721,1588,3965,2674,1185,1979,121,51,210,410,NA,NA,NA,NA,NA,Daviess
029,Dearborn,SOUTH DEARBORN COMM SCH CORP,2000,3155,24082,642,254,0,279,109,14414,11991,83,342,1998,9026,6684,6684,0,318,0,871,1153,24358,20116,11886,4729,12940,8842,3634,6057,366,495,266,1169,3761,1119,1845,2277,120,1618,0,355,100,2.7,1.1,59.9,49.8,37.5,27.8,1.3,3.6,6282,3767,1499,4101,2803,1152,1920,116,157,84,371,NA,NA,NA,NA,NA,Dearborn
