County,year,population
Huntington,2001,37877
Huntington,2002,37992
Huntington,2003,37875
Huntington,2004,37768
Huntington,2005,37650
Huntington,2006,37601
Huntington,2007,37447
Huntington,2008,37244
Huntington,2009,37205
Huntington,2010,37109
Jackson,2000,41428
Jackson,2001,41343
Jackson,2002,41335
Jackson,2003,41403
Jackson,2004,41417
Jackson,2005,41683
Jackson,2006,41725
Jackson,2007,41693
Jackson,2008,41705
Jackson,2009,41798
Jackson,2010,42587
Jasper,2000,30334
Jasper,2001,30417
Jasper,2002,30664
Jasper,2003,31133
Jasper,2004,31503
Jasper,2005,31763
Jasper,2006,32419
Jasper,2007,32894
Jasper,2008,33155
Jasper,2009,33278
Jasper,2010,33529
Jay,2000,21792
Jay,2001,21726
Jay,2002,21713
Jay,2003,21681
Jay,2004,21651
Jay,2005,21595
Jay,2006,21564
Jay,2007,21580
Jay,2008,21467
Jay,2009,21399
Jay,2010,21196
Jefferson,2000,31706
Jefferson,2001,31887
Jefferson,2002,31871
Jefferson,2003,31779
Jefferson,2004,31787
Jefferson,2005,31998
Jefferson,2006,32287
Jefferson,2007,32140
Jefferson,2008,32586
Jefferson,2009,32558
Jefferson,2010,32394
Jennings,2000,27747
Jennings,2001,27932
Jennings,2002,28131
Jennings,2003,28012
Jennings,2004,28202
Jennings,2005,28352
Jennings,2006,28320
Jennings,2007,28502
Jennings,2008,28480
Jennings,2009,28546
Jennings,2010,28500
Johnson,2000,115756
Johnson,2001,117843
Johnson,2002,120447
Johnson,2003,122202
Johnson,2004,124192
Johnson,2005,126769
Johnson,2006,130512
Johnson,2007,133933
Johnson,2008,136933
Johnson,2009,138584
Johnson,2010,140009
Knox,2000,39195
Knox,2001,38840
Knox,2002,38832
Knox,2003,38580
Knox,2004,38712
Knox,2005,38543
Knox,2006,38399
Knox,2007,38325
Knox,2008,38497
Knox,2009,38499
Knox,2010,38405
Kosciusko,2000,74211
Kosciusko,2001,74756
Kosciusko,2002,74861
Kosciusko,2003,75176
Kosciusko,2004,75447
Kosciusko,2005,75934
Kosciusko,2006,76358
Kosciusko,2007,76832
Kosciusko,2008,77091
Kosciusko,2009,77263
Kosciusko,2010,77368
LaGrange,2000,34892
LaGrange,2001,35299
LaGrange,2002,35453
LaGrange,2003,35711
LaGrange,2004,36017
LaGrange,2005,36283
LaGrange,2006,36613
LaGrange,2007,36931
LaGrange,2008,37181
LaGrange,2009,37119
LaGrange,2010,37134
Lake,2000,484514
Lake,2001,484454
Lake,2002,484520
Lake,2003,485596
Lake,2004,487405
Lake,2005,489530
Lake,2006,491432
Lake,2007,493403
Lake,2008,495479
Lake,2009,495789
Lake,2010,495981
LaPorte,2000,110121
LaPorte,2001,110077
LaPorte,2002,109555
LaPorte,2003,109027
LaPorte,2004,108914
LaPorte,2005,109541
LaPorte,2006,109641
LaPorte,2007,110846
LaPorte,2008,111267
LaPorte,2009,111465
LaPorte,2010,111465
Lawrence,2000,45915
Lawrence,2001,45965
Lawrence,2002,46039
Lawrence,2003,46178
Lawrence,2004,46106
Lawrence,2005,46233
Lawrence,2006,46165
Lawrence,2007,46300
Lawrence,2008,46233
Lawrence,2009,46138
Lawrence,2010,46124
Madison,2000,133213
Madison,2001,132920
Madison,2002,132433
Madison,2003,131740
Madison,2004,131366
Madison,2005,130871
Madison,2006,131240
Madison,2007,131203
Madison,2008,131537
Madison,2009,131599
Madison,2010,131642
Marion,2000,860832
Marion,2001,865662
Marion,2002,866210
Marion,2003,868576
Marion,2004,870378
Marion,2005,873310
Marion,2006,878515
Marion,2007,883591
Marion,2008,889504
Marion,2009,898394
Marion,2010,904878
Marshall,2000,45243
Marshall,2001,45534
Marshall,2002,45518
Marshall,2003,45923
Marshall,2004,46288
Marshall,2005,46549
Marshall,2006,46851
Marshall,2007,46871
Marshall,2008,47012
Marshall,2009,47126
Marshall,2010,47020
Martin,2000,10360
Martin,2001,10311
Martin,2002,10341
Martin,2003,10309
Martin,2004,10361
Martin,2005,10323
Martin,2006,10344
Martin,2007,10334
Martin,2008,10304
Martin,2009,10300
Martin,2010,10338
Miami,2000,36184
Miami,2001,36475
Miami,2002,37019
Miami,2003,37251
Miami,2004,37120
Miami,2005,37445
Miami,2006,37745
Miami,2007,37580
Miami,2008,37281
Miami,2009,37127
Miami,2010,36800
Monroe,2000,120872
Monroe,2001,121696
Monroe,2002,122628
Monroe,2003,124514
Monroe,2004,126359
Monroe,2005,128121
Monroe,2006,130677
Monroe,2007,132514
Monroe,2008,134401
Monroe,2009,136198
Monroe,2010,138422
Montgomery,2000,37601
Montgomery,2001,37793
